date,description,amount
2024-10-01,Salary Deposit,3500.00
2024-10-02,Grocery Store,-85.32
2024-10-03,Gas Station,-45.00
2024-10-05,Coffee Shop,-5.50
2024-10-06,Restaurant,-67.89
2024-10-08,Electric Bill,-120.00
2024-10-10,Grocery Store,-92.15
2024-10-12,Online Shopping,-156.99
2024-10-15,Paycheck,3500.00
2024-10-16,Rent Payment,-1200.00
2024-10-18,Gas Station,-48.50
2024-10-20,Pharmacy,-23.45
2024-10-22,Coffee Shop,-6.25
2024-10-24,Grocery Store,-78.90
2024-10-26,Internet Bill,-60.00
2024-10-28,Restaurant,-89.50

